,date,sal,scu,sru,zpm,dxa,dxm,zwh,zcf,sfu,dxc,dxb,zsr,dxy,zta,szn,zoi,dxl,dxp,srb,swr,zri,dxv,spb,dxj,zma,sag,zfg,zrm,zrs,djm,ztc,sbu,dxi,djd,zjr,dbb,dfb,dpp,shc,zlr,zsf,zsm,dcs,sni,ssn,fih,fic,fif,ftf,fxt
0,20070104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20070105,-3360,-2673.615,-3564.55025,0,0,-3228,0,0,0,-4390.4,0,0,-2137.5,-3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20070108,-306028.000000558,396773.63000009,228574.187999609,0,0,5343.99999999808,0,0,0,23475.2000000101,0,0,7577.49999997331,41373.9999999828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20070109,175366.000000286,-66126.5199999529,159941.283499621,0,0,37204.0000000055,0,0,0,-46593.5999999703,0,0,-42322.5000000213,-15330.9999999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20070110,192143.999999564,-278363.562500201,481890.939250049,0,0,20419.9999999712,0,0,0,-15695.9999999978,0,0,9500.00000000911,-16392.9999999504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20070111,12144.0000000483,-319563.917500318,120781.703000029,0,0,54163.9999999773,0,0,0,87041.5999999016,0,0,31349.9999999758,46566.99999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20070112,-72000.0000000482,266136.384999967,-300058.923500021,0,0,-26811.9999999834,0,0,0,11636.4000000183,0,0,-40872.5000000041,87347.0000000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20070115,11252.000000037,64436.4599999597,318481.666999716,0,0,245531.999999987,0,0,0,243034.399999955,0,0,201675.000000072,-46605.9999999893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20070116,121000.000000593,338800.000000158,-201418.035999873,0,0,23183.9999999809,0,0,0,-18661.2000000256,0,0,75417.4999998518,55186.9999999616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20070117,151222.000000029,-24326.3650000201,123840.887500378,0,0,68813.9999997962,0,0,0,-55867.2000000238,0,0,15787.4999999824,208986.99999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
