,date,sal,scu,sru,zpm,dxa,dxm,zwh,zcf,sfu,dxc,dxb,zsr,dxy,zta,szn,zoi,dxl,dxp,srb,swr,zri,dxv,spb,dxj,zma,sag,zfg,zrm,zrs,djm,ztc,sbu,dxi,djd,zjr,dbb,dfb,dpp,shc,zlr,zsf,zsm,dcs,sni,ssn,fih,fic,fif,ftf,fxt
0,20070104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20070105,-3108,-2482.6425,-3272.374,0,0,-3228,0,-2578.4,0,-4390.4,0,-2223,-2137.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20070108,-283078.000000516,368423.630000084,-216739.459999641,0,0,5343.99999999808,0,13200.0000000307,0,23475.2000000101,0,-30779.9999999949,7577.49999997331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20070109,162316.000000265,-61563.2599999561,147441.283499651,0,0,37204.0000000055,0,-10999.9999999856,0,-46593.5999999703,0,13667.0000000181,-42322.5000000213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20070110,178193.999999595,-254100.000000184,443640.939250045,0,0,26875.9999999712,0,-8799.9999999803,0,-15695.9999999978,0,-5113.00000000041,9500.00000000911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20070111,11244.0000000447,-298263.917500297,111031.703000026,0,0,-54235.9999999773,0,-2199.99999999773,0,87041.5999999016,0,-29069.9999999836,31349.9999999758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20070112,-66600.0000000446,247986.384999969,-275000.000000019,0,0,26787.9999999834,0,-79200.0000003102,0,11636.4000000183,0,49589.9999999776,-40872.5000000041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20070115,16622.0000000342,59936.4599999625,296940.833499735,0,0,-245747.999999987,0,6570.70000000771,0,243034.399999955,0,-53023.000000028,205815.000000072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20070116,-112000.000000549,315700.000000147,-184859.017999884,0,0,-23255.9999999809,0,-33404.2999999826,0,-18661.2000000256,0,32286.9999999905,-75462.4999998518,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20070117,-140028.000000027,-22613.1825000187,115500.000000353,0,0,-68885.9999997962,0,20249.9999999841,0,-55867.2000000238,0,-3419.99999999954,-15832.4999999824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
